Year	Kenya	World
1980	1.001883436	1.000018869
1981	1.042176074	1.018631745
1982	1.083456442	1.036599512
1983	1.12567362	1.054812192
1984	1.168760736	1.072483865
1985	1.21241227	1.090839049
1986	1.256347239	1.109703278
1987	1.300480982	1.129145535
1988	1.344707362	1.148732091
1989	1.388891411	1.168200243
1990	1.433186503	1.188148507
1991	1.480544172	1.206810465
1992	1.536170552	1.225910229
1993	1.585552147	1.24443406
1994	1.624979755	1.263363224
1995	1.666441718	1.281579519
1996	1.707763804	1.299657723
1997	1.749302454	1.317350151
1998	1.790688344	1.334769811
1999	1.832779141	1.352104173
2000	1.877662577	1.369349946
2001	1.927796933	1.386614128
2002	1.982422086	1.403876862
2003	2.039560123	1.421071695
2004	2.099597546	1.438363647
2005	2.162350307	1.455634447
2006	2.227984663	1.473115564
2007	2.295023313	1.490747496
2008	2.364466871	1.508002594
2009	2.436055215	1.525582172
2010	2.50571411	1.542983262
2011	2.573220859	1.560283921
2012	2.638855276	1.578650186
